arm,video,n_questions,gold_at_4_rate,mIoP,mIoU,delta_gold_at_4_vs_A,delta_mIoP_vs_A,delta_mIoU_vs_A
A,4260763967,5,0.6,0.24426818181818183,0.1910601588391292,0.0,0.0,0.0
A,4263096481,5,0.8,0.3566454545454546,0.1173853127239652,0.0,0.0,0.0
A,4264435046,7,0.5714285714285714,0.46905381121078804,0.22021454523874803,0.0,0.0,0.0
A,4272084125,10,0.4,0.2091409090909091,0.11505924704824604,0.0,0.0,0.0
A,4276006683,9,0.5555555555555556,0.4968813131313131,0.1502858939491787,0.0,0.0,0.0
A,4333544549,8,0.5,0.3552784090909091,0.06023934434450305,0.0,0.0,0.0
A,4336654741,7,0.42857142857142855,0.2680259740259739,0.1624612114289282,0.0,0.0,0.0
A,4378803532,11,0.6363636363636364,0.43152479338842975,0.18976676726213457,0.0,0.0,0.0
A,4388652400,4,0.0,0.08075378787878788,0.04873612143232345,0.0,0.0,0.0
A,4412508597,5,0.6,0.4454772727272728,0.30053394283430224,0.0,0.0,0.0
A,4419096437,7,0.7142857142857143,0.18890800865800866,0.03598640595575591,0.0,0.0,0.0
A,4420239986,9,0.7777777777777778,0.5184614269846229,0.10964555270792808,0.0,0.0,0.0
A,4443526735,6,0.5,0.5321034045635639,0.23435491014630613,0.0,0.0,0.0
A,4444192938,8,0.5,0.16245738636363638,0.15928530503110339,0.0,0.0,0.0
A,4465235803,6,1.0,0.6442095959595961,0.4120555978130506,0.0,0.0,0.0
A,4485498145,6,0.8333333333333334,0.2248013459810411,0.20174200602074022,0.0,0.0,0.0
A,4485707628,7,0.5714285714285714,0.5557121212121211,0.2864510085471183,0.0,0.0,0.0
A,4488066715,9,0.4444444444444444,0.26268434343434344,0.15339204858726596,0.0,0.0,0.0
A,4516967897,4,0.5,0.39478409090909117,0.13089379065163836,0.0,0.0,0.0
A,4518113460,7,0.2857142857142857,0.2857142857142857,0.1952534350141347,0.0,0.0,0.0
A,4542882771,4,0.5,0.009446022727272617,0.0028209043861881396,0.0,0.0,0.0
A,4564478328,6,0.8333333333333334,0.25516792929292925,0.18978551732691254,0.0,0.0,0.0
A,4584426085,10,0.4,0.08712727272727278,0.04812211287407117,0.0,0.0,0.0
A,4603484665,5,1.0,0.738651515151515,0.4233904992984662,0.0,0.0,0.0
A,4612723694,9,0.4444444444444444,0.38152777777777774,0.12016076029660547,0.0,0.0,0.0
A,4626085492,9,0.5555555555555556,0.246753367003367,0.17500351083499674,0.0,0.0,0.0
A,4636208292,5,0.4,0.15545454545454535,0.12481751824817515,0.0,0.0,0.0
A,4650556666,6,0.5,0.2976190476190476,0.05000819134993447,0.0,0.0,0.0
A,4671452046,10,0.7,0.34685681818181824,0.2034767812616025,0.0,0.0,0.0
A,4674481985,8,0.25,0.1643892045454545,0.0672095038945681,0.0,0.0,0.0
A,4688219212,9,0.3333333333333333,0.06296717171717171,0.03740708236759003,0.0,0.0,0.0
A,4698622422,7,0.8571428571428571,0.4205681818181817,0.3071141367428613,0.0,0.0,0.0
A,4707679105,4,0.5,0.23419886363636366,0.21425970751893297,0.0,0.0,0.0
A,4761953886,3,0.6666666666666666,0.3333333333333333,0.04793028322440088,0.0,0.0,0.0
A,4762946272,7,0.5714285714285714,0.16231818181818183,0.09728187541225755,0.0,0.0,0.0
A,4765564263,6,0.8333333333333334,0.5793598484848484,0.3767708308093374,0.0,0.0,0.0
A,4765717907,9,0.5555555555555556,0.2212946127946128,0.11386490201764578,0.0,0.0,0.0
A,4770216656,1,1.0,0.0,0.0,0.0,0.0,0.0
A,4774302357,6,0.8333333333333334,0.38792297979797974,0.31602248909507913,0.0,0.0,0.0
A,4798585428,5,0.6,0.14090909090909104,0.14090909090909104,0.0,0.0,0.0
A,4815534482,5,0.4,0.07363636363636375,0.0352941176470589,0.0,0.0,0.0
A,4825843801,2,0.5,0.6477272727272725,0.3026568501920611,0.0,0.0,0.0
A,4838113006,9,0.4444444444444444,0.2222222222222222,0.03320366990517976,0.0,0.0,0.0
A,4838145161,6,0.16666666666666666,0.16666666666666666,0.01373283395755306,0.0,0.0,0.0
A,4846820256,4,0.5,0.3908125000000001,0.38427855640096825,0.0,0.0,0.0
A,4857781123,4,0.0,0.0,0.0,0.0,0.0,0.0
A,4859057828,9,0.6666666666666666,0.2471137480376414,0.22715981542856017,0.0,0.0,0.0
A,4882414082,2,0.0,0.0,0.0,0.0,0.0,0.0
A,4882821564,8,0.375,0.06099621212121211,0.014703572759081648,0.0,0.0,0.0
A,4889681401,2,0.0,0.0,0.0,0.0,0.0,0.0
A,4896969617,11,0.45454545454545453,0.26881404958677685,0.19012620802154775,0.0,0.0,0.0
A,4915733559,8,0.25,0.11451420454545458,0.10555584825360528,0.0,0.0,0.0
A,4925211209,3,0.3333333333333333,0.5435606060606061,0.2591503141072106,0.0,0.0,0.0
A,4935987905,4,1.0,0.7250530303030303,0.3574819680592023,0.0,0.0,0.0
A,4942054721,3,0.3333333333333333,0.3333333333333333,0.2404371584699453,0.0,0.0,0.0
A,4949582792,10,0.1,0.0,0.0,0.0,0.0,0.0
A,4955723618,10,0.5,0.24413409090909083,0.14409856675540342,0.0,0.0,0.0
A,4967810888,5,0.8,0.25671818181818135,0.24025685553895199,0.0,0.0,0.0
A,4968805923,8,0.625,0.5003709778194314,0.4266200221313901,0.0,0.0,0.0
A,4970148391,8,0.375,0.2351789772727274,0.22118180717069605,0.0,0.0,0.0
A,4978714491,7,0.2857142857142857,0.1827922077922079,0.11796406580184635,0.0,0.0,0.0
A,4984331176,4,0.5,0.29092256355099244,0.2656926380793369,0.0,0.0,0.0
A,4984417707,6,0.8333333333333334,0.39545688955552655,0.3284756272923149,0.0,0.0,0.0
A,5017166671,2,0.0,0.0,0.0,0.0,0.0,0.0
A,5026660202,2,0.0,0.0,0.0,0.0,0.0,0.0
A,5056964274,7,0.8571428571428571,0.2531038961038961,0.19146077434668377,0.0,0.0,0.0
A,5061117640,6,0.5,0.24486616161616168,0.20538025119267445,0.0,0.0,0.0
A,5064681723,4,1.0,0.4591534090909092,0.44294765497218347,0.0,0.0,0.0
A,5070310138,6,0.6666666666666666,0.31299242424242446,0.2424758030864214,0.0,0.0,0.0
A,5116088152,9,0.2222222222222222,0.17058585858585842,0.1102852135038574,0.0,0.0,0.0
A,5129152550,4,0.25,0.1756704545454545,0.12061889454136887,0.0,0.0,0.0
A,5133787349,8,0.5,0.15980495321131946,0.12964176829268295,0.0,0.0,0.0
A,5134317883,7,0.0,0.04220779220779229,0.01600985221674882,0.0,0.0,0.0
A,5138093706,9,0.4444444444444444,0.18118939393939393,0.08441888240312195,0.0,0.0,0.0
A,5145526755,3,0.0,0.0,0.0,0.0,0.0,0.0
A,5173770364,5,0.2,0.2,0.1294117647058824,0.0,0.0,0.0
A,5205081904,7,0.42857142857142855,0.2235032467532467,0.18539110050008575,0.0,0.0,0.0
