video_id,corpus,cache_dir,config_hash,is_canonical,n_survivors,n_scenes,shortlist_width,fraction_kept
4179163342,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,291,45,7,0.155556
4273039295,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,296,61,8,0.131148
4279106208,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,75,13,4,0.307692
4483447009,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,104,20,5,0.25
4626535366,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,196,28,6,0.214286
4635309062,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,278,46,7,0.152174
4658396458,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,289,59,8,0.135593
4740074365,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,79,10,4,0.4
4744503881,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,66,14,4,0.285714
4757890069,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,151,22,5,0.227273
4782722858,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,166,36,6,0.166667
4822859674,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,115,13,4,0.307692
4983922034,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,64,10,4,0.4
5008618500,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,102,19,5,0.263158
5047408177,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,87,25,5,0.2
5048503508,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,43,10,4,0.4
5323654756,nextqa_val_confirm,/home/ccbd/IRIS-1/tuning/determinism_gate/index_cache,4edae64ed40256e3,True,272,39,7,0.179487
